name2	#name
TRIM62	NM_001330483
ZBTB8OS	NR_158772
AK2	NM_001625
TMEM54	NM_001329722
ZBTB8OS	NR_158774
ZBTB8OS	NM_001308135
KIAA1522	NM_001198973
KIAA1522	NM_001198972
ZBTB8OS	NM_178547
TMEM54	NM_001329725
AK2	NM_013411
AK2	NM_001199199
AK2	NM_001319142
AK2	NM_001319141
AK2	NM_001319143
AK2	NM_001319139
TMEM54	NM_033504
ZBTB8OS	NM_001366266
ZBTB8OS	NM_001366265
ZBTB8OS	NM_001366258
ZBTB8OS	NM_001366259
ZBTB8OS	NM_001366260
ZBTB8OS	NR_158773
ZBTB8OS	NM_001366268
ZBTB8OS	NM_001366267
ZNF362	NM_152493
KIAA1522	NM_020888
ZBTB8OS	NM_001330475
AK2	NR_134976
AK2	NM_001319140
TMEM54	NM_001329724
ZBTB8OS	NM_001308138
ZBTB8OS	NM_001308137
ZBTB8OS	NM_001308136
ZBTB8OS	NM_001308141
ZBTB8OS	NM_001308140
ZBTB8OS	NM_001308139
ZBTB8OS	NM_001366263
TMEM54	NM_001329723
TRIM62	NM_018207
ZBTB8OS	NM_001366278
ZBTB8OS	NM_001366257
ZBTB8OS	NM_001366256
ZBTB8OS	NM_001366255
KIAA1522	NM_001369553
ZNF362	NM_001370212
C1orf94	NM_001134734
C1orf94	NM_032884
KIAA0319L	NM_024874
ZMYM6	NM_007167
ZMYM4	NM_001350138
ZMYM4	NM_001350139
ZMYM4	NM_001350140
ZMYM4	NM_005095
ZMYM4	NM_001375653
AGO1	NM_012199
OSCP1	NM_206837
MAP7D1	NM_018067
AGO3	NM_024852
AGO1	NM_001317122
OSCP1	NM_145047
SH3D21	NM_001162530
MAP7D1	NM_001286366
MAP7D1	NM_001286365
OSCP1	NM_001330493
AGO1	NM_001317123
AGO3	NM_177422
RSPO1	NM_001242909
RSPO1	NM_001242910
RSPO1	NM_001038633
GRIK3	NM_000831
RSPO1	NM_001242908
INPP5B	NM_001365821
INPP5B	NR_158628
INPP5B	NM_001365824
INPP5B	NM_001365820
INPP5B	NR_158629
INPP5B	NR_158631
INPP5B	NM_001365825
INPP5B	NM_001350227
INPP5B	NM_001365822
INPP5B	NM_005540
INPP5B	NM_001297434
INPP5B	NM_001365823
INPP5B	NR_158630
INPP5B	NM_001350228
MACF1	NM_012090
RHBDL2	NM_001304746
RHBDL2	NM_017821
NFYC	NM_001308115
NFYC	NM_001142590
RIMS3	NM_014747
NFYC	NM_001308114
NFYC	NM_001142589
RLF	NM_012421
NFYC	NM_001142588
NFYC	NM_001142587
NFYC	NM_014223
SLFNL1-AS1	NR_037868
SCMH1	NR_135092
SCMH1	NM_001172222
SCMH1	NM_001172220
SCMH1	NM_012236
SCMH1	NM_001350668
SCMH1	NM_001172218
HIVEP3	NM_024503
HIVEP3	NM_001127714
SCMH1	NM_001172221
SCMH1	NM_001172219
SCMH1	NM_001350667
SCMH1	NM_001031694
FOXJ3	NM_001198852
LOC339539	NR_104171
CCDC30	NM_001355224
FOXJ3	NM_001198851
FOXJ3	NM_001198850
PPCS	NM_001287511
CCDC30	NM_001355226
CCDC30	NM_001355227
CCDC30	NM_001080850
FOXJ3	NM_014947
ST3GAL3	NM_001350621
ST3GAL3	NR_073020
ST3GAL3	NM_001270466
ST3GAL3	NM_174965
ST3GAL3	NM_174971
ST3GAL3	NM_174963
CFAP57	NM_001195831
ST3GAL3	NM_001350620
ST3GAL3	NM_174969
ST3GAL3	NM_174968
ST3GAL3	NM_001270463
ST3GAL3	NM_001270462
ST3GAL3	NM_174970
ST3GAL3	NM_174964
ST3GAL3	NM_174966
ST3GAL3	NM_001270465
ST3GAL3	NM_174967
ST3GAL3	NR_073018
ST3GAL3	NM_006279
ST3GAL3	NR_073021
ST3GAL3	NR_073019
ST3GAL3	NR_073016
ST3GAL3	NR_073017
MED8	NM_052877
ST3GAL3	NR_146867
MED8	NM_001001653
ST3GAL3	NM_001363573
ST3GAL3	NM_001270464
ST3GAL3	NM_001270461
ST3GAL3	NM_001350619
ST3GAL3	NM_001270460
ST3GAL3	NM_001270459
MED8	NM_201542
ST3GAL3	NR_073023
EIF2B3	NM_001166588
ERI3	NM_001301699
ERI3	NM_001301700
ERI3	NM_001301701
EIF2B3	NM_001261418
RNF220	NM_018150
PTCH2	NM_003738
ARMH1	NM_001145636
ERI3	NM_024066
PTCH2	NM_001166292
RNF220	NM_001376488
EIF2B3	NM_020365
RNF220	NM_001319957
ERI3	NM_001301698
RNF220	NM_001319956
RNF220	NM_001376486
RNF220	NM_001376487
TESK2	NM_001320800
NASP	NM_001195193
TESK2	NM_007170
IPP	NM_001145349
NASP	NM_002482
MAST2	NM_015112
MAST2	NM_001319245
MAST2	NM_001324321
IPP	NM_005897
MAST2	NM_001324320
NASP	NM_152298
ATPAF1	NM_001243728
ATPAF1	NM_022745
ATPAF1	NM_001042546
RAD54L	NM_001370766
RAD54L	NM_001142548
RAD54L	NM_003579
FAAH	NM_001441
ATPAF1	NM_001256418
SKINT1L	NR_026749
TRABD2B	NM_001194986
SPATA6	NM_001286239
BEND5	NM_001302082
BEND5	NM_001349795
BEND5	NM_001349793
BEND5	NM_001349794
BEND5	NM_024603
BEND5	NR_146232
SPATA6	NM_001286238
SPATA6	NM_019073
AGBL4-IT1	NR_046839
ELAVL4	NM_021952
ELAVL4	NM_001144774
ELAVL4	NM_001144775
ELAVL4	NM_001324209
ELAVL4	NM_001324208
ELAVL4	NM_001324214
ELAVL4	NM_001324213
ELAVL4	NM_001324212
ELAVL4	NM_001294348
ELAVL4	NM_001324215
ELAVL4	NM_001144776
ELAVL4	NM_001144777
RNF11	NM_014372
C1orf185	NM_001136508
FAF1	NM_007051
OSBPL9	NM_024586
OSBPL9	NM_148905
OSBPL9	NM_001330580
OSBPL9	NM_148904
OSBPL9	NM_148907
ZFYVE9	NM_007324
OSBPL9	NR_036662
OSBPL9	NM_001350208
OSBPL9	NM_148909
OSBPL9	NM_001350209
OSBPL9	NM_148908
ZFYVE9	NM_004799
TXNDC12	NM_015913
TXNDC12	NR_046406
TXNDC12	NR_046405
OSBPL9	NM_001350210
OSBPL9	NM_148906
COA7	NM_023077
SCP2	NM_001193600
SCP2	NM_001193617
SCP2	NM_001330587
PODN	NM_153703
SCP2	NM_001193599
SCP2	NM_002979
CZIB	NM_001304760
CZIB	NM_001304759
CZIB	NM_017887
ZYG11B	NM_024646
SCP2	NM_001007098
PODN	NM_001199081
PODN	NM_001199080
YIPF1	NM_018982
GLIS1	NM_147193
CDCP2	NM_001353655
SSBP3	NM_145716
YIPF1	NR_036640
YIPF1	NR_036639
GLIS1	NM_001367484
SSBP3	NM_018070
SSBP3	NM_001009955
YIPF1	NR_135075
MROH7	NM_001291332
MROH7	NR_026782
MROH7	NR_111931
MROH7-TTC4	NR_037639
MROH7-TTC4	NR_037640
MROH7-TTC4	NR_037641
PCSK9	NM_174936
USP24	NM_015306
PCSK9	NR_110451
TTC22	NM_017904
TTC22	NM_001114108
MROH7	NM_001039464
FYB2	NM_001004303
C8A	NM_000562
DAB1	NM_001353986
DAB1	NM_001353985
DAB1	NM_001365795
DAB1	NM_001365794
DAB1	NM_001365793
DAB1	NM_001365792
DAB1	NM_001353983
LINC01135	NR_034014
LINC01135	NR_034015
LINC01135	NR_108106
FGGY	NM_001350797
FGGY	NM_001350798
FGGY	NM_001350791
FGGY	NM_001350796
FGGY	NM_001350795
FGGY	NM_018291
FGGY	NM_001350792
FGGY	NM_001350799
FGGY	NM_001278224
FGGY	NM_001350790
FGGY	NM_001350794
FGGY	NR_103473
FGGY	NM_001350793
FGGY	NM_001113411
FGGY	NM_001244714
LINC01748	NR_146508
C1orf87	NM_152377
CYP2J2	NM_000775
CYP2J2	NR_134982
CYP2J2	NR_134981
NFIA-AS2	NR_110617
NFIA	NM_001134673
NFIA	NM_005595
NFIA	NM_001145512
NFIA	NM_001145511
KANK4	NM_181712
DOCK7	NM_001367561
DOCK7	NM_001272001
DOCK7	NM_001271999
DOCK7	NM_033407
DOCK7	NM_001272000
DOCK7	NM_001272002
KANK4	NM_001320269
DOCK7	NM_001330614
EFCAB7	NM_032437
LINC00466	NR_038252
UBE2U	NR_158768
JAK1	NM_002227
UBE2U	NM_001366235
JAK1	NM_001320923
CACHD1	NM_001293274
JAK1	NM_001321857
UBE2U	NM_001366232
RAVER2	NM_001366165
CACHD1	NM_020925
UBE2U	NM_001366234
UBE2U	NM_001366233
UBE2U	NM_152489
RAVER2	NM_018211
JAK1	NM_001321856
JAK1	NM_001321855
UBE2U	NR_158769
LEPR	NM_001198689
LEPR	NM_001198688
LEPR	NM_001003680
LEPR	NM_002303
LEPR	NM_001003679
LEPR	NM_001198687
DNAJC6	NM_001256865
DNAJC6	NM_001256864
DNAJC6	NM_014787
MIER1	NM_001146113
WDR78	NM_207014
SGIP1	NM_001308203
MIER1	NM_020948
MIER1	NM_001350530
MIER1	NM_001146111
MIER1	NM_001077704
MIER1	NM_001146110
MIER1	NM_001146112
SGIP1	NM_032291
SGIP1	NM_001350217
WDR78	NM_024763
SGIP1	NM_001350218
MIER1	NM_001077703
